"Year","Month","Day","WaterTemperature","Precipitation"
2022,1,1,12.8,0
2022,1,1,12.8,0
2022,1,1,12.8,0
2022,1,1,12.8,0
2022,1,1,12.8,0
2022,1,1,12.8,0
2022,1,1,12.8,0
2022,1,1,12.8,0
2022,1,1,12.8,0
2022,1,1,12.8,0
2022,1,1,12.7,0
2022,1,1,12.7,0
2022,1,1,12.7,0
2022,1,1,12.7,0
2022,1,1,12.7,0
2022,1,1,12.7,0
2022,1,1,12.7,0
2022,1,1,12.7,0
2022,1,1,12.7,0
2022,1,1,12.8,0
2022,1,1,12.7,0
2022,1,1,12.7,0
2022,1,1,12.7,0
2022,1,1,12.7,0
2022,1,10,13,0
2022,1,10,12.9,0
2022,1,10,12.9,0
2022,1,10,12.9,0
2022,1,10,12.8,0
2022,1,10,12.8,0
2022,1,10,12.9,0
2022,1,10,12.8,0
2022,1,10,12.8,0
2022,1,10,12.8,0
2022,1,10,12.8,0
2022,1,10,12.8,0
2022,1,10,12.7,0
2022,1,10,12.7,0
2022,1,10,12.7,0
2022,1,10,12.7,0
2022,1,10,12.7,0
2022,1,10,12.6,0
2022,1,10,12.6,0
2022,1,10,12.7,0
2022,1,10,12.7,0
2022,1,10,12.8,0
2022,1,10,12.9,0
2022,1,10,13,0
2022,1,11,13,0
2022,1,11,12.9,0
2022,1,11,12.9,0
2022,1,11,12.8,0
2022,1,11,12.8,0
2022,1,11,12.7,0
2022,1,11,12.7,0
2022,1,11,12.7,0
2022,1,11,12.7,0
2022,1,11,12.7,0
2022,1,11,12.7,0
2022,1,11,12.7,0
2022,1,11,12.7,0
2022,1,11,12.7,0
2022,1,11,12.7,0
2022,1,11,12.7,0
2022,1,11,12.7,0
2022,1,11,12.7,0
2022,1,11,12.7,0
2022,1,11,12.7,0
2022,1,11,12.7,0
2022,1,11,12.8,0
2022,1,11,12.9,0
2022,1,11,12.9,0
2022,1,12,12.8,0
2022,1,12,12.8,0
2022,1,12,12.7,0
2022,1,12,12.7,0
2022,1,12,12.7,0
2022,1,12,12.7,0
2022,1,12,12.6,0
2022,1,12,12.5,0
2022,1,12,12.5,0
2022,1,12,12.5,0
2022,1,12,12.5,0
2022,1,12,12.5,0
2022,1,12,12.5,0
2022,1,12,12.5,0
2022,1,12,12.5,0
2022,1,12,12.4,0
2022,1,12,12.4,0
2022,1,12,12.4,0
2022,1,12,12.4,0
2022,1,12,12.4,0
2022,1,12,12.5,0
2022,1,12,12.6,0
2022,1,12,12.8,0
2022,1,12,12.7,0
2022,1,13,12.9,0
2022,1,13,12.8,0
2022,1,13,12.8,0
2022,1,13,12.6,0
2022,1,13,12.6,0
2022,1,13,12.6,0
2022,1,13,12.5,0
2022,1,13,12.5,0
2022,1,13,12.5,0
2022,1,13,12.5,0
2022,1,13,12.5,0
2022,1,13,12.5,0
2022,1,13,12.5,0
2022,1,13,12.6,0
2022,1,13,12.6,0
2022,1,13,12.5,0
2022,1,13,12.5,0
2022,1,13,12.5,0
2022,1,13,12.5,0
2022,1,13,12.5,0
2022,1,13,12.6,0
2022,1,13,12.6,0
2022,1,13,12.8,0
2022,1,13,12.7,0
2022,1,14,12.7,0
2022,1,14,12.7,0
2022,1,14,12.6,0
2022,1,14,12.6,0
2022,1,14,12.6,0
2022,1,14,12.6,0
2022,1,14,12.6,0
2022,1,14,12.6,0
2022,1,14,12.6,0
2022,1,14,12.6,0
2022,1,14,12.6,0
2022,1,14,12.7,0
2022,1,14,12.7,0
2022,1,14,12.7,0
2022,1,14,12.7,0
2022,1,14,12.7,0
2022,1,14,12.7,0
2022,1,14,12.7,0
2022,1,14,12.7,0
2022,1,14,12.7,0
2022,1,14,12.7,0
2022,1,14,12.6,0
2022,1,14,12.6,0
2022,1,14,12.5,0
2022,1,15,12.6,0
2022,1,15,12.5,0
2022,1,15,12.5,0
2022,1,15,12.6,0
2022,1,15,12.6,0
2022,1,15,12.6,0
2022,1,15,12.6,0
2022,1,15,12.7,0
2022,1,15,12.7,0
2022,1,15,12.7,0
2022,1,15,12.7,0
2022,1,15,12.7,0
2022,1,15,12.7,0
2022,1,15,12.7,0
2022,1,15,12.7,0
2022,1,15,12.6,0
2022,1,15,12.6,0
2022,1,15,12.6,0
2022,1,15,12.6,0
2022,1,15,12.6,0
2022,1,15,12.7,0
2022,1,15,12.7,0
2022,1,15,12.7,0
2022,1,15,12.8,0
2022,1,16,12.7,0
2022,1,16,12.7,0
2022,1,16,12.7,0
2022,1,16,12.6,0
2022,1,16,12.6,0
2022,1,16,12.7,0
2022,1,16,12.7,0
2022,1,16,12.7,0
2022,1,16,12.7,0
2022,1,16,12.7,0
2022,1,16,12.7,0
2022,1,16,12.6,0
2022,1,16,12.6,0
2022,1,16,12.6,0
2022,1,16,12.6,0
2022,1,16,12.7,0
2022,1,16,12.7,0
2022,1,16,12.7,0
2022,1,16,12.7,0
2022,1,16,12.8,0
2022,1,16,12.9,0
2022,1,16,12.9,0
2022,1,16,13,0
2022,1,16,13,0
2022,1,17,13,0
2022,1,17,13.1,0
2022,1,17,13,0
2022,1,17,13,0
2022,1,17,13,0
2022,1,17,13,0
2022,1,17,13,0
2022,1,17,13,0
2022,1,17,13,0
2022,1,17,12.9,0
2022,1,17,12.8,0
2022,1,17,12.8,0
2022,1,17,12.8,0
2022,1,17,12.8,0
2022,1,17,12.8,0
2022,1,17,12.7,0
2022,1,17,12.7,0
2022,1,17,12.6,0
2022,1,17,12.7,0
2022,1,17,12.7,0
2022,1,17,12.8,0
2022,1,17,12.8,0
2022,1,17,13,0
2022,1,17,12.9,0
2022,1,18,13.1,0
2022,1,18,13,0
2022,1,18,12.9,0
2022,1,18,12.9,0
2022,1,18,12.9,0
2022,1,18,12.9,0
2022,1,18,12.9,0
2022,1,18,12.8,0
2022,1,18,12.8,0
2022,1,18,12.8,0
2022,1,18,12.8,0
2022,1,18,12.8,0
2022,1,18,12.8,0
2022,1,18,12.8,0
2022,1,18,12.8,0
